Term;TermFragment;TermType;TermFrequency;TermRule;TermRepeatRule
ЕДИНАЯ ФОРМА;единая синтаксическая форма;CombTermComponent;1;0;0
СИНТАКСИЧЕСКАЯ ФОРМА;единая синтаксическая форма;CombTermComponent;1;0;0
БАЗОВОЕ СРЕДСТВО;базовым функциональным средствам;CombTermComponent;1;0;0
ФУНКЦИОНАЛЬНОЕ СРЕДСТВО;базовым функциональным средствам;CombTermComponent;4;0;0
ВНЕШНЯЯ СКОБКА;внешней круглой скобкой;CombTermComponent;4;0;0
КРУГЛАЯ СКОБКА;внешней круглой скобкой;CombTermComponent;64;0;0
МНЕМОНИЧНОЕ НАЗВАНИЕ;мнемоничные синонимичные названия;CombTermComponent;1;0;0
СИНОНИМИЧНОЕ НАЗВАНИЕ;мнемоничные синонимичные названия;CombTermComponent;1;0;0
СТРОГОЕ ПРОГРАММИРОВАНИЕ;строго функциональном программировании;CombTermComponent;1;0;0
ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ;строго функциональном программировании;CombTermComponent;196;0;0
ВЫШЕ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ;выше безымянной функции-дизъюнкции;CombTermComponent;1;0;0
БЕЗЫМЯННАЯ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ;выше безымянной функции-дизъюнкции;CombTermComponent;1;0;0
ВЫШЕ НАБОР;выше базового набора;CombTermComponent;1;0;0
БАЗОВЫЙ НАБОР;выше базового набора;CombTermComponent;324;0;0
ПРОСТАЯ ФУНКЦИЯ;простые рекурсивные функции;CombTermComponent;1;0;0
РЕКУРСИВНАЯ ФУНКЦИЯ;простые рекурсивные функции;CombTermComponent;256;0;0
ПООЧЕРЕДНОЕ ПРЕДСТАВЛЕНИЕ;поочередно внутреннее представление;CombTermComponent;1;0;0
ВЗАИМОСВЯЗАННАЯ ЯЧЕЙКА;взаимосвязанных списочных ячеек;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;взаимосвязанных списочных ячеек;CombTermComponent;841;0;0
ЗАГЛАВНАЯ ЯЧЕЙКА;заглавной списочной ячейки;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;заглавной списочной ячейки;CombTermComponent;841;0;0
ПОЛЕЕ ЯЧЕЙКА;полей списочной ячейки;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;полей списочной ячейки;CombTermComponent;841;0;0
