Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermComponents
ЕДИНАЯ СИНТАКСИЧЕСКАЯ ФОРМА;единая синтаксическая форма;2;CombTerm;1;2;False;ЕДИНАЯ ФОРМА(1),  СИНТАКСИЧЕСКАЯ ФОРМА(1),  
БАЗОВОЕ ФУНКЦИОНАЛЬНОЕ СРЕДСТВО;базовым функциональным средствам;2;CombTerm;1;2;False;БАЗОВОЕ СРЕДСТВО(1),  ФУНКЦИОНАЛЬНОЕ СРЕДСТВО(4),  
ВНЕШНЯЯ КРУГЛАЯ СКОБКА;внешней круглой скобкой;4;CombTerm;1;2;False;ВНЕШНЯЯ СКОБКА(4),  КРУГЛАЯ СКОБКА(64),  
МНЕМОНИЧНОЕ СИНОНИМИЧНОЕ НАЗВАНИЕ;мнемоничные синонимичные названия;7;CombTerm;1;2;False;МНЕМОНИЧНОЕ НАЗВАНИЕ(1),  СИНОНИМИЧНОЕ НАЗВАНИЕ(1),  
СТРОГОЕ ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ;строго функциональном программировании;9;CombTerm;5;10;False;СТРОГОЕ ПРОГРАММИРОВАНИЕ(1),  ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(196),  
ВЫШЕ БЕЗЫМЯННАЯ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ;выше безымянной функции-дизъюнкции;12;CombTerm;1;2;False;ВЫШЕ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ(1),  БЕЗЫМЯННАЯ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ(1),  
ВЫШЕ БАЗОВЫЙ НАБОР;выше базового набора;16;CombTerm;1;2;False;ВЫШЕ НАБОР(1),  БАЗОВЫЙ НАБОР(324),  
ПРОСТАЯ РЕКУРСИВНАЯ ФУНКЦИЯ;простые рекурсивные функции;27;CombTerm;1;2;False;ПРОСТАЯ ФУНКЦИЯ(1),  РЕКУРСИВНАЯ ФУНКЦИЯ(256),  
ПООЧЕРЕДНОЕ ВНУТРЕННЕЕ ПРЕДСТАВЛЕНИЕ;поочередно внутреннее представление;29;CombTerm;1;2;False;ПООЧЕРЕДНОЕ ПРЕДСТАВЛЕНИЕ(1),  
ВЗАИМОСВЯЗАННАЯ СПИСОЧНАЯ ЯЧЕЙКА;взаимосвязанных списочных ячеек;31;CombTerm;1;2;False;ВЗАИМОСВЯЗАННАЯ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
ЗАГЛАВНАЯ СПИСОЧНАЯ ЯЧЕЙКА;заглавной списочной ячейки;31;CombTerm;2;4;False;ЗАГЛАВНАЯ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
ПОЛЕЕ СПИСОЧНАЯ ЯЧЕЙКА;полей списочной ячейки;32;CombTerm;1;2;False;ПОЛЕЕ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
СУЩЕСТВУЮЩАЯ СПИСОЧНАЯ СТРУКТУРА;существующей списочной структурой;33;CombTerm;1;2;False;СУЩЕСТВУЮЩАЯ СТРУКТУРА(1),  СПИСОЧНАЯ СТРУКТУРА(324),  
АЦИКЛИЧЕСКИЙ ОРИЕНТИРОВАННЫЙ ГРАФ;ациклический ориентированный граф;33;CombTerm;1;2;False;АЦИКЛИЧЕСКИЙ ГРАФ(1),  ОРИЕНТИРОВАННЫЙ ГРАФ(1),  
ЛОГИЧЕСКИЙ ОДИНАКОВЫЙ СПИСОК;логически одинаковые списки;33;CombTerm;1;2;False;ЛОГИЧЕСКИЙ СПИСОК(1),  ОДИНАКОВЫЙ СПИСОК(1),  
СВОБОДНАЯ СПИСОЧНАЯ ПАМЯТЬ;свободной списочной памятью;34;CombTerm;4;8;False;СВОБОДНАЯ ПАМЯТЬ(1),  СПИСОЧНАЯ ПАМЯТЬ(36),  
НЕНУЖНАЯ СПИСОЧНАЯ ЯЧЕЙКА;ненужные списочные ячейки;34;CombTerm;1;2;False;НЕНУЖНАЯ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
СУЩЕСТВУЮЩАЯ СПИСОЧНАЯ ЯЧЕЙКА;существующих списочных ячеек;34;CombTerm;1;2;False;СУЩЕСТВУЮЩАЯ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
ГРАФОВАЯ ФИЗИЧЕСКАЯ СТРУКТУРА;графовой  физической структуре;34;CombTerm;1;2;False;ГРАФОВАЯ СТРУКТУРА(1),  ФИЗИЧЕСКАЯ СТРУКТУРА(1),  
УКАЗАННЫЙ ПОБОЧНЫЙ ЭФФЕКТ;указанных побочных эффектов;34;CombTerm;1;2;False;УКАЗАННЫЙ ЭФФЕКТ(1),  ПОБОЧНЫЙ ЭФФЕКТ(144),  
ГЛАВНАЯ ОТЛИЧИТЕЛЬНАЯ ОСОБЕННОСТЬ;главных отличительных особенностей;34;CombTerm;1;2;False;ГЛАВНАЯ ОСОБЕННОСТЬ(1),  ОТЛИЧИТЕЛЬНАЯ ОСОБЕННОСТЬ(1),  
ТРАДИЦИОННЫЙ ИМПЕРАТИВНЫЙ ЯЗЫК;традиционных императивных языках;35;CombTerm;2;4;False;ТРАДИЦИОННЫЙ ЯЗЫК(4),  ИМПЕРАТИВНЫЙ ЯЗЫК(4),  
ТРАДИЦИОННЫЙ УСЛОВНЫЙ ОПЕРАТОР;традиционных условных операторов;35;CombTerm;1;2;False;ТРАДИЦИОННЫЙ ОПЕРАТОР(1),  УСЛОВНЫЙ ОПЕРАТОР(1),  
ПЕРЕМЕННОЕ ПОЗДНЕЕ СВЯЗЫВАНИЕ;переменных позднее связывание;37;CombTerm;1;2;False;ПЕРЕМЕННОЕ СВЯЗЫВАНИЕ(1),  ПОЗДНЕЕ СВЯЗЫВАНИЕ(4),  
РЕКУРСИВНАЯ ВНУТРЕННЯЯ СТРУКТУРА;рекурсивную внутреннюю структуру;39;CombTerm;1;2;False;РЕКУРСИВНАЯ СТРУКТУРА(4),  ВНУТРЕННЯЯ СТРУКТУРА(1),  
ИЗЛИШНИЙ РЕКУРСИВНЫЙ ВЫЗОВ;излишних рекурсивных вызовов;50;CombTerm;1;2;False;ИЗЛИШНИЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(625),  
ОДИНАКОВОЕ СИНТАКСИЧЕСКОЕ ПРЕДСТАВЛЕНИЕ;одинаковое синтаксическое представление;60;CombTerm;1;2;False;ОДИНАКОВОЕ ПРЕДСТАВЛЕНИЕ(1),  СИНТАКСИЧЕСКОЕ ПРЕДСТАВЛЕНИЕ(1),  
СВОБОДНАЯ ПЕРЕМЕННАЯ ФУНКЦИЯ;свободных переменных функций;68;CombTerm;1;2;False;СВОБОДНАЯ ФУНКЦИЯ(1),  ПЕРЕМЕННАЯ ФУНКЦИЯ(1),  
ОСОБОЕ ЭКЗОТИЧЕСКОЕ ИМЯ;особых экзотических имен;68;CombTerm;1;2;False;ЭКЗОТИЧЕСКОЕ ИМЯ(1),  
ЕДИНСТВЕННОЕ ПУСТОЕ МНОЖЕСТВО;единственного пустого множества;75;CombTerm;1;2;False;ЕДИНСТВЕННОЕ МНОЖЕСТВО(1),  ПУСТОЕ МНОЖЕСТВО(1),  
ЧИСТОЕ ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ;чисто функционального программирования;79;CombTerm;1;2;False;ЧИСТОЕ ПРОГРАММИРОВАНИЕ(1),  ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(196),  
ЛИСПОВСКАЯ ОСОБАЯ ФУНКЦИЯ;лисповские особые функции;87;CombTerm;1;2;False;ЛИСПОВСКАЯ ФУНКЦИЯ(49),  ОСОБАЯ ФУНКЦИЯ(289),  
НУЖНЫЙ ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;нужный функциональный вызов;93;CombTerm;1;2;False;НУЖНЫЙ ВЫЗОВ(1),  ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(841),  
ВЫЧИСЛИМОЕ ЛИСПОВСКОЕ ВЫРАЖЕНИЕ;вычислимое лисповское выражение;94;CombTerm;2;4;False;ВЫЧИСЛИМОЕ ВЫРАЖЕНИЕ(9),  
ОБЫЧНАЯ ЛИСПОВСКАЯ ФОРМА;обычной лисповской формой;101;CombTerm;1;2;False;ОБЫЧНАЯ ФОРМА(1),  
СТРОГОЕ ФИКСИРОВАВШЕЕ ЧИСЛО;строго фиксированное число;6;CombTerm;1;2;False;СТРОГОЕ ЧИСЛО(1),  ФИКСИРОВАВШЕЕ ЧИСЛО(1),  
ОБЫЧНАЯ ВСТРОИВШАЯ ФУНКЦИЯ;обычных встроенных функций;8;CombTerm;1;2;False;ОБЫЧНАЯ ФУНКЦИЯ(196),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  
ОСОБАЯ ВСТРОИВШАЯ ФУНКЦИЯ;особая встроенная функция;14;CombTerm;2;4;False;ОСОБАЯ ФУНКЦИЯ(289),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  
УКАЗАННОЕ ОПРЕДЕЛЯЮЩЕЕ ВЫРАЖЕНИЕ;указанным определяющим выражением;14;CombTerm;1;2;False;УКАЗАННОЕ ВЫРАЖЕНИЕ(1),  ОПРЕДЕЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  
АЦИКЛИЧЕСКИЙ ОРИЕНТИРОВАВШИЙ ГРАФ;ациклический ориентированный граф;33;CombTerm;1;2;False;АЦИКЛИЧЕСКИЙ ГРАФ(1),  ОРИЕНТИРОВАВШИЙ ГРАФ(1),  
ОБЪЕМЛЮЩАЯ ВЫЧИСЛЯЮЩАЯ ФУНКЦИЯ;объемлющей вычисляемой функции;38;CombTerm;2;4;False;ОБЪЕМЛЮЩАЯ ФУНКЦИЯ(1),  ВЫЧИСЛЯЮЩАЯ ФУНКЦИЯ(1),  
ВЫШЕ ВСТРОИВШАЯ ФУНКЦИЯ;выше встроенных функций;87;CombTerm;1;2;False;ВЫШЕ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  
ВЛОЖИВШИЙ ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;вложенные функциональные вызовы;6;CombTerm;3;6;False;ВЛОЖИВШИЙ ВЫЗОВ(1),  ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(841),  
ВСТРОИВШАЯ ЛИСПОВСКАЯ ФУНКЦИЯ;встроенных лисповских функций;11;CombTerm;2;4;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  ЛИСПОВСКАЯ ФУНКЦИЯ(49),  
ИСКЛЮЧИВШАЯ ВНЕШНЯЯ СКОБКА;исключены внешние скобки;15;CombTerm;1;2;False;ИСКЛЮЧИВШАЯ СКОБКА(1),  ВНЕШНЯЯ СКОБКА(4),  
ВСТРОИВШАЯ ОСОБАЯ ФУНКЦИЯ;встроенная особая функция;15;CombTerm;1;2;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  ОСОБАЯ ФУНКЦИЯ(289),  
ВСТРОИВШАЯ ЛОГИЧЕСКАЯ ФУНКЦИЯ;встроенные логические функции;20;CombTerm;1;2;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  ЛОГИЧЕСКАЯ ФУНКЦИЯ(4),  
ОТЛОЖИВШИЙ ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;отложенных функциональных вызовов;2;CombTerm;2;4;False;ОТЛОЖИВШИЙ ВЫЗОВ(1),  ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(841),  
ПОКАЗАВШЕЕ ВНУТРЕННЕЕ ПРЕДСТАВЛЕНИЕ;показано внутреннее представление;31;CombTerm;1;2;False;ПОКАЗАВШЕЕ ПРЕДСТАВЛЕНИЕ(1),  
СУЩЕСТВУЮЩАЯ СПИСОЧНАЯ СТРУКТУРА;существующей списочной структурой;33;CombTerm;1;2;False;СУЩЕСТВУЮЩАЯ СТРУКТУРА(1),  СПИСОЧНАЯ СТРУКТУРА(324),  
СУЩЕСТВУЮЩАЯ СПИСОЧНАЯ ЯЧЕЙКА;существующих списочных ячеек;34;CombTerm;1;2;False;СУЩЕСТВУЮЩАЯ ЯЧЕЙКА(1),  СПИСОЧНАЯ ЯЧЕЙКА(841),  
УКАЗАВШИЙ ПОБОЧНЫЙ ЭФФЕКТ;указанных побочных эффектов;34;CombTerm;1;2;False;УКАЗАВШИЙ ЭФФЕКТ(1),  ПОБОЧНЫЙ ЭФФЕКТ(144),  
ОТЛОЖИВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ;отложенных рекурсивных вызовов;40;CombTerm;1;2;False;ОТЛОЖИВШИЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(625),  
НАЗЫВАЮЩАЯ ХВОСТОВАЯ РЕКУРСИЯ;называемую хвостовую рекурсию;41;CombTerm;1;2;False;НАЗЫВАЮЩАЯ РЕКУРСИЯ(1),  ХВОСТОВАЯ РЕКУРСИЯ(64),  
ПОЛУЧАЮЩАЯСЯ КВАДРАТИЧНАЯ ЗАВИСИМОСТЬ;Получающуюся квадратичную зависимость;51;CombTerm;1;2;False;ПОЛУЧАЮЩАЯСЯ ЗАВИСИМОСТЬ(1),  КВАДРАТИЧНАЯ ЗАВИСИМОСТЬ(1),  
ВЫРОВНЯВШЕЕ ПРАВОЕ ПОДДЕРЕВО;выровненное правое поддерево;56;CombTerm;1;2;False;ВЫРОВНЯВШЕЕ ПОДДЕРЕВО(1),  ПРАВОЕ ПОДДЕРЕВО(25),  
ВЛОЖИВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ;вложенных рекурсивных вызовов;56;CombTerm;1;2;False;ВЛОЖИВШИЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(625),  
ВСТРОИВШАЯ СПЕЦИАЛЬНАЯ ФОРМА;встроена специальная форма;68;CombTerm;1;2;False;ВСТРОИВШАЯ ФОРМА(1),  СПЕЦИАЛЬНАЯ ФОРМА(1),  
НАЗЫВАЮЩИЙ КЛЮЧЕВОЙ ПАРАМЕТР;называемых ключевых параметров;72;CombTerm;1;2;False;НАЗЫВАЮЩИЙ ПАРАМЕТР(1),  КЛЮЧЕВОЙ ПАРАМЕТР(16),  
ВОЗНИКНУВШАЯ ЛИШНЯЯ СКОБКА;возникшие лишние скобки;74;CombTerm;1;2;False;ВОЗНИКНУВШАЯ СКОБКА(1),  ЛИШНЯЯ СКОБКА(9),  
ПРИВЕДШАЯ НИЖЕ ПРОГРАММА;приведенной ниже программе;80;CombTerm;1;2;False;ПРИВЕДШАЯ ПРОГРАММА(1),  НИЖЕ ПРОГРАММА(1),  
ВВЕДШЕЕ ЛИСПОВСКОЕ ВЫРАЖЕНИЕ;введено лисповское выражение;82;CombTerm;1;2;False;ВВЕДШЕЕ ВЫРАЖЕНИЕ(1),  
ОТКРЫВАЮЩАЯ КРУГЛАЯ СКОБКА;открывающая круглая скобка;83;CombTerm;1;2;False;ОТКРЫВАЮЩАЯ СКОБКА(1),  КРУГЛАЯ СКОБКА(64),  
ИСКЛЮЧИВШИЙ ПОБОЧНЫЙ ЭФФЕКТ;исключены побочные эффекты;87;CombTerm;1;2;False;ИСКЛЮЧИВШИЙ ЭФФЕКТ(1),  ПОБОЧНЫЙ ЭФФЕКТ(144),  
