Term;MainPage;Pages;TermFrequency;CValue;inHeader;TermKind;TermType;TermSynonimTo;TermRule;TermRepeatRule;TermFragment;TermFullNormForm
БИБЛИОГРАФИЧЕСКИЙ СПИСОК ЛИТЕРАТУРЫ;22;8, 20, 22, 33, 34-35;11;20;False;AuthTerm;;;1;0;Список литературы называют библиографическим;БИБЛИОГРАФИЧЕСКИЙ СПИСОК ЛИТЕРАТУРА
СПИСОК ЛИТЕРАТУРЫ;22;2-8, 20, 22-23, 28-29, 33-34;14;19,0195500086539;False;AuthTerm;;;1;0;Список литературы называют библиографическим;СПИСОК ЛИТЕРАТУРА
КОМПОЗИЦИЯ ТЕКСТА;8;4, 8, 9;4;6,33985000288463;False;AuthTerm;;;1;0;Под композицией текста понимается;КОМПОЗИЦИЯ ТЕКСТ
ВТОРИЧНЫЙ ДОКУМЕНТ;20;20, 22;4;6,33985000288463;False;AuthTerm;;;1;0;так называемый вторичный документ;ВТОРИЧНЫЙ ДОКУМЕНТ
ЧИСЛО МИЛЛЕРА;44;44;1;1,58496250072116;False;AuthTerm;;;1;0;так называемому числу Миллера;ЧИСЛО МИЛЛЕР
НАНИЗЫВАНИЕ ПАДЕЖЕЙ;25;25;1;1,58496250072116;False;AuthTerm;;;1;0;т.н. нанизывание падежей;НАНИЗЫВАНИЕ ПАДЕЖ
ОГЛАВЛЕНИЕ;21;8, 20, 21;4;4;False;AuthTerm;;;1;0;называемый оглавлением;ОГЛАВЛЕНИЕ
РУБРИКАЦИЯ ТЕКСТА;12;12, 13, 24;5;7,92481250360578;False;AuthTerm;;;1;0;Рубрикацией текста называется;РУБРИКАЦИЯ ТЕКСТ
АННОТАЦИЯ;20;6, 8, 20-21, 22, 26;14;14;False;AuthTerm;;;1;0;Аннотация представляет собой;АННОТАЦИЯ
ЭЛЕМЕНТ СПИСКА ЛИТЕРАТУРЫ;35;10, 35;2;4;False;AuthTerm;;;1;0;элемент списка литературы представляет собой;ЭЛЕМЕНТ СПИСОК ЛИТЕРАТУРА
КОМПОЗИЦИЯ;0;8, 45, 52;9;5;False;NonDictTerm;;;2;0;композиции;КОМПОЗИЦИЯ
ОБЗОР;0;10, 34, 52;6;4;False;NonDictTerm;;;2;0;обзора;ОБЗОР
РЕДАКТИРОВАНИЕ;0;2, 21, 23, 24;14;10;False;NonDictTerm;;;2;0;редактирование;РЕДАКТИРОВАНИЕ
РЕФЕРАТЫ;0;2, 6, 7, 17, 18;15;14;False;NonDictTerm;;;3;0;рефераты;РЕФЕРАТ
РУБРИКАЦИЯ;0;2, 13;9;4;False;NonDictTerm;;;3;0;рубрикация;РУБРИКАЦИЯ
СТРУКТУРА ТЕКСТОВ;0;4, 27;3;4,75488750216347;False;NonDictTerm;;;3;0;структуре текстов;СТРУКТУРА ТЕКСТ
ЭЛЕМЕНТЫ СПИСКА;0;10, 14-15, 33-35, 44, 49;8;12,6797000057693;False;NonDictTerm;;;3;0;элементы списка;ЭЛЕМЕНТ СПИСОК
РАЗДЕЛЫ ТЕКСТА;0;10-12, 19-20, 24, 28-29, 42;15;15,8496250072116;False;NonDictTerm;;;3;0;разделов текста;РАЗДЕЛ ТЕКСТ
СТРОКИ ТЕКСТА;0;13, 28, 32, 42;4;6,33985000288463;False;NonDictTerm;;;3;0;строк текста;СТРОКА ТЕКСТ
ЭЛЕМЕНТЫ ПЕРЕЧИСЛЕНИЯ;0;14, 15, 42;3;4,75488750216347;False;NonDictTerm;;;3;0;элементы перечисления;ЭЛЕМЕНТ ПЕРЕЧИСЛЕНИЕ
МНОЖЕСТВЕННОЕ ЧИСЛО;0;5;3;4,75488750216347;False;NonDictTerm;;;3;0;множественного числа;МНОЖЕСТВЕННЫЙ ЧИСЛО
ОСНОВНЫЙ ТЕКСТ;0;2, 7-10, 18-20, 23, 42-50;9;14,2646625064904;False;NonDictTerm;;;3;0;основной текст;ОСНОВНЫЙ ТЕКСТ
БИБЛИОГРАФИЧЕСКИЙ СПИСОК;0;8, 20, 22, 33, 35;11;15,8496250072116;False;NonDictTerm;;;3;0;библиографический список;БИБЛИОГРАФИЧЕСКИЙ СПИСОК
ДРЕВНИЕ ДОКУМЕНТЫ;0;24;3;4,75488750216347;False;NonDictTerm;;;3;0;древних документах;ДРЕВНИЕ ДОКУМЕНТ
ОСНОВНЫЙ РАЗДЕЛ ТЕКСТА;0;12, 19, 29, 42, 52;5;10;False;NonDictTerm;;;3;0;основному разделу текста;ОСНОВНЫЙ РАЗДЕЛ ТЕКСТ
РАЗДЕЛ НАУЧНОГО ТЕКСТА;0;10, 20, 28;3;6;False;NonDictTerm;;;3;0;раздел научного текста;РАЗДЕЛ НАУЧНЫЙ ТЕКСТ
ТЕКСТ РЕФЕРАТА;7;7;1;1,58496250072116;False;AuthTerm;;;4;0;текст реферата представляет собой;ТЕКСТ РЕФЕРАТ
ЭЛЕМЕНТ БИБЛИОГРАФИЧЕСКОГО СПИСКА;34;34;1;2;False;AuthTerm;;;4;0;элемент библиографического списка представляет собой;ЭЛЕМЕНТ БИБЛИОГРАФИЧЕСКИЙ СПИСОК
НАУЧНАЯ СТАТЬЯ;6;6, 7, 17;7;11,0947375050481;False;AuthTerm;;;4;0;Научная статья есть;НАУЧНЫЙ СТАТЬЯ
КЛЮЧЕВОЕ СЛОВО ДОКУМЕНТА;22;11, 20, 22;8;16;False;AuthTerm;;;4;0;Ключевые слова документа – это;КЛЮЧЕВОЙ СЛОВО ДОКУМЕНТ
СОДЕРЖАНИЕ;0;2-7, 8-13, 18-23, 24-28, 46-47;84;84;False;SynTerm;;;6;0;содержание (оглавление);СОДЕРЖАНИЕ
НАУЧНОЕ РЕДАКТИРОВАНИЕ;0;2, 8, 20, 21, 24;4;6,33985000288463;False;SynTerm;;;6;0;содержание (научное редактирование);НАУЧНЫЙ РЕДАКТИРОВАНИЕ
ЛИСТ СОДЕРЖАНИЯ;0;8, 20, 21;2;3,16992500144231;False;SynTerm;;;6;0;Лист содержания (оглавление);ЛИСТ СОДЕРЖАНИЕ
ПЕРЕЧИСЛЕНИЕ;0;2-4, 10-20, 25-35, 40-42, 44-49;45;42;False;SynTerm;;;6;0;элементов списка (перечисления);ПЕРЕЧИСЛЕНИЕ
БИБЛИОГРАФИЯ;0;8, 20, 22, 33-34, 35;4;4;False;SynTerm;;;6;0;библиографический список, или библиография;БИБЛИОГРАФИЯ
СПИСОК;0;10, 33, 35, 44, 49;24;21;False;SynTerm;;;7;0;перечислений (списков);СПИСОК
РУБРИКА;0;10-13, 25, 35, 44, 49;6;6;False;SynTerm;;;7;0;списками, или рубриками;РУБРИКА
ДУБЛЕТ;0;17, 24;4;4;False;SynTerm;;;7;0;синонимы (дублеты);ДУБЛЕТ
СИНОНИМ;0;17, 22, 24;6;6;False;SynTerm;;;7;0;синонимы (дублеты);СИНОНИМ
НАЗВАНИЕ;0;2-12, 19-24, 26-30, 34-42, 43-51;123;120;False;SynTerm;;;7;0;тему (название);НАЗВАНИЕ
ТЕМА;0;2-7, 9-14, 18-27, 40, 51;46;46;False;SynTerm;;;7;0;тему (название);ТЕМА
Ф-ЛА;0;40;2;2;False;SynTerm;;;7;0;формула (ф-ла);Ф-ЛА
ФОРМУЛА;0;3, 10-12, 28-29, 32-33, 40-50;78;78;False;SynTerm;;;7;0;формула (ф-ла);ФОРМУЛА
ЛАТИНСКАЯ БУКВА;0;14;2;3,16992500144231;False;SynTerm;;;7;0;арабскими цифрами (или латинскими буквами);ЛАТИНСКИЙ БУКВА
АРАБСКАЯ ЦИФРА;0;14, 28, 42;10;15,8496250072116;False;SynTerm;;;7;0;арабскими цифрами (или латинскими буквами);АРАБСКИЙ ЦИФРА
ОБЗОР ОБЩЕДОСТУПНЫХ РЕСУРСОВ;0;34;2;4;False;SynTerm;;;7;0;корпуса русского языка (обзор общедоступных ресурсов);ОБЗОР ОБЩЕДОСТУПНЫЙ РЕСУРС
КОРПУС РУССКОГО ЯЗЫКА;0;34;4;8;False;SynTerm;;;7;0;корпуса русского языка (обзор общедоступных ресурсов);КОРПУС РУССКИЙ ЯЗЫК
АДРЕСАТ ТЕСТА;0;5;2;3,16992500144231;False;SynTerm;;;7;0;читателя (адресата теста);АДРЕСАТ ТЕСТ
ЧИТАТЕЛЬ;0;5, 18;6;6;False;SynTerm;;;7;0;читателя (адресата теста);ЧИТАТЕЛЬ
ТЕМАТИЧЕСКИЙ ЗАГОЛОВОК;0;23;2;3,16992500144231;False;SynTerm;;;7;0;название (тематический заголовок);ТЕМАТИЧЕСКИЙ ЗАГОЛОВОК
СЛОЖНОЕ СИНТАКСИЧЕСКОЕ ЦЕЛОЕ;0;13;2;4;False;SynTerm;;;7;0;Абзац, или сложное синтаксическое целое;СЛОЖНЫЙ СИНТАКСИЧЕСКИЙ ЦЕЛОЕ
АБЗАЦ;0;6, 13-15, 21, 25, 44;40;40;False;SynTerm;;;7;0;Абзац, или сложное синтаксическое целое;АБЗАЦ
СКРИНШОТ;0;43;2;2;False;SynTerm;;;7;0;копии экранов компьютера (скриншоты);СКРИНШОТ
КОПИЯ ЭКРАНОВ КОМПЬЮТЕРА;0;43;2;4;False;SynTerm;;;7;0;копии экранов компьютера (скриншоты);КОПИЯ ЭКРАН КОМПЬЮТЕР
СТРУКТУРА;0;7-8, 14-18, 25, 27-28, 37;19;16;False;NonDictTerm;;;8;0;структуре;СТРУКТУРА
ЛИСТ;0;8, 26, 42;15;5;False;NonDictTerm;;;8;0;лист;ЛИСТ
ЭКРАНЫ;0;49;6;4;False;NonDictTerm;;;8;0;экранов;ЭКРАН
