Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermRule;TermRepeatRule
ПРЕДИСЛОВИЕ;Предисловие;2;NonDictTerm;1;1;False;0;0
ЛИСП;Лисп;2;NonDictTerm;73;73;True;0;0
ПРОГРАММИРОВАНИЕ;программирования;2;NonDictTerm;47;47;True;0;0
ГОДА;годах;2;NonDictTerm;3;1;False;0;0
ПРОШЛОЕ;прошлого;2;NonDictTerm;2;1;False;0;0
УЧЕНЫЙ;ученым;2;NonDictTerm;1;1;False;0;0
ДЖ;Дж;2;NonDictTerm;2;2;False;0;0
МАККАРТЬ;Маккарти;2;NonDictTerm;2;2;False;0;0
ИНФОРМАЦИЯ;информации;2;NonDictTerm;7;7;False;0;0
СТРУКТУРА;структура;2;NonDictTerm;43;43;False;0;0
СПИСОК;список;2;NonDictTerm;328;328;True;0;0
НАЗВАНИЕ;название;2;NonDictTerm;4;4;False;0;0
ДИАЛЕКТЫ;диалектов;2;NonDictTerm;73;73;False;0;0
РЕАЛИЗАЦИИ;реализаций;2;NonDictTerm;9;9;False;0;0
РОССИЯ;России;2;NonDictTerm;1;1;False;0;0
ЭВМ;ЭВМ;2;NonDictTerm;1;1;False;0;0
БАЗА;базе;2;NonDictTerm;7;7;False;0;0
ТЕМЫ;тем;2;NonDictTerm;19;19;False;0;0
ПОПЫТКА;попытки;2;NonDictTerm;1;1;False;0;0
НАСТОЯЩЕЕ;настоящее;2;NonDictTerm;1;1;False;0;0
ПАКЕТ;пакета;2;NonDictTerm;1;1;False;0;0
РОЛЬ;роль;2;NonDictTerm;5;5;False;0;0
ПРОСТОТА;Простота;2;NonDictTerm;2;2;False;0;0
ЕСТЕСТВЕННОСТЬ;естественностью;2;NonDictTerm;2;0;False;0;0
РАСШИРЕНИЕ;расширения;2;NonDictTerm;7;7;False;0;0
ПРОГРАММЫ;программ;2;NonDictTerm;43;43;True;0;0
ЛЕКЦИЯ;лекции;2;NonDictTerm;1;1;False;0;0
БОЛЬШАКОВА;Большаковой;2;NonDictTerm;1;1;False;0;0
ФАКУЛЬТЕТ;факультете;2;NonDictTerm;1;1;False;0;0
ВМК;ВМК;2;NonDictTerm;1;1;False;0;0
